,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade,TotalSacks,TotalInt,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,FantasyPoints
0,Josh Allen,BUF,QB,0.0,0.0,0.0,5.1,110.8,519.9,8.0,605.4,400.6,4586.8,33.4,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.1
1,Patrick Mahomes II,KC,QB,0.0,0.0,0.0,2.5,55.2,266.9,2.9,631.8,420.3,5047.3,38.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.6
2,Kyler Murray,ARI,QB,0.0,0.0,0.0,3.7,127.0,704.1,7.8,584.6,388.1,4176.4,26.5,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.3
3,Lamar Jackson,BAL,QB,0.0,0.0,0.0,4.0,152.4,918.6,6.6,462.1,295.4,3376.8,29.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.3
4,Dak Prescott,DAL,QB,0.0,0.0,0.0,4.2,63.8,298.3,4.1,622.1,415.6,4843.3,31.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.8
5,Justin Herbert,LAC,QB,0.0,0.0,0.0,2.6,61.5,273.4,4.4,617.4,402.5,4619.8,31.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.4
6,Russell Wilson,SEA,QB,0.0,0.0,0.0,3.5,83.3,450.1,2.1,570.6,380.4,4248.5,34.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.4
7,Aaron Rodgers,GB,QB,0.0,0.0,0.0,3.1,41.0,174.0,1.9,571.2,384.8,4457.3,36.6,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.9
8,Tom Brady,TB,QB,0.0,0.0,0.0,2.2,23.8,29.9,2.0,621.5,404.8,4706.1,36.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.3
9,Jalen Hurts,PHI,QB,0.0,0.0,0.0,4.9,138.0,710.7,5.9,542.5,329.0,3748.6,22.6,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.2
