",",Player,POS,AVG,Rank
1,Christian McCaffrey,RB,1,1
2,Dalvin Cook,RB,2,2
3,Derrick Henry,RB,3,3
4,Alvin Kamara,RB,4,4
5,Ezekiel Elliott,RB,5,5
6,Nick Chubb,RB,6.3,6
7,Saquon Barkley,RB,8,7
8,Aaron Jones,RB,9,8
9,Jonathan Taylor,RB,9.3,9
10,Davante Adams,WR,10,10
11,Travis Kelce,TE,10.3,11
12,Tyreek Hill,WR,11,12
13,Austin Ekeler,RB,13,13
14,Stefon Diggs,WR,14,14
15,Antonio Gibson,RB,15.3,15
16,Najee Harris,RB,15.7,16
17,Patrick Mahomes II,QB,18.3,17
18,DeAndre Hopkins,WR,18.3,18
19,Calvin Ridley,WR,19.7,19
20,D.K. Metcalf,WR,20,20
21,Joe Mixon,RB,20.3,21
22,Clyde Edwards-Helaire,RB,22.3,22
23,Justin Jefferson,WR,23,23
24,A.J. Brown,WR,24.3,24
25,Darren Waller,TE,24.7,25
26,J.K. Dobbins,RB,25.3,26
27,George Kittle,TE,27,27
28,Keenan Allen,WR,30.3,28
29,David Montgomery,RB,30.3,29
30,Chris Carson,RB,31.3,30
31,Josh Jacobs,RB,31.7,31
32,Terry McLaurin,WR,32,32
33,Josh Allen,QB,33.3,33
34,Allen Robinson II,WR,34,34
35,D'Andre Swift,RB,34.7,35
36,Miles Sanders,RB,36,36
37,CeeDee Lamb,WR,36.3,37
38,Mike Evans,WR,37.3,38
39,Kyler Murray,QB,41,39
40,Chris Godwin,WR,41.3,40
41,Julio Jones,WR,42.7,41
42,Robert Woods,WR,43,42
43,Amari Cooper,WR,44.3,43
44,Myles Gaskin,RB,46.7,44
45,Lamar Jackson,QB,47,45
46,Adam Thielen,WR,49,46
47,Cooper Kupp,WR,49.3,47
48,Kareem Hunt,RB,49.7,48
49,Kyle Pitts,TE,50,49
50,Darrell Henderson,RB,51.3,50
51,Tyler Lockett,WR,53.3,51
52,Mark Andrews,TE,54.3,52
53,Dak Prescott,QB,54.3,53
54,James Robinson,RB,54.7,54
55,T.J. Hockenson,TE,55.3,55
56,Mike Davis,RB,56.3,56
57,Diontae Johnson,WR,56.3,57
58,D.J. Moore,WR,57,58
59,Russell Wilson,QB,61,59
60,Travis Etienne,RB,61.3,60
61,Justin Herbert,QB,61.3,61
62,Aaron Rodgers,QB,62.7,62
63,Brandon Aiyuk,WR,64.3,63
64,Chase Edmonds,RB,65,64
65,Kenny Golladay,WR,66,65
66,Raheem Mostert,RB,67,66
67,Javonte Williams,RB,67.3,67
68,Ja'Marr Chase,WR,69.3,68
69,Odell Beckham Jr.,WR,69.3,69
70,Chase Claypool,WR,71.7,70
71,Ronald Jones II,RB,72.3,71
72,Tee Higgins,WR,72.3,72
73,Michael Thomas,WR,73.3,73
74,Tom Brady,QB,75,74
75,Damien Harris,RB,75.7,75
76,Melvin Gordon III,RB,79.7,76
77,Michael Carter,RB,83.7,77
78,Leonard Fournette,RB,84.7,78
79,JuJu Smith-Schuster,WR,86.3,79
80,Noah Fant,TE,86.3,80
81,Jalen Hurts,QB,87.7,81
82,Robby Anderson,WR,87.7,82
83,Courtland Sutton,WR,89.3,83
84,David Johnson,RB,89.3,84
85,Deebo Samuel,WR,89.7,85
86,Jerry Jeudy,WR,90.7,86
87,DeVonta Smith,WR,91,87
88,D.J. Chark Jr.,WR,91,88
89,Dallas Goedert,TE,92,89
90,Trey Sermon,RB,92,90
91,Logan Thomas,TE,92.7,91
92,Ryan Tannehill,QB,93,92
93,Matthew Stafford,QB,93.3,93
94,Zack Moss,RB,95,94
95,Tyler Boyd,WR,96,95
96,AJ Dillon,RB,96.3,96
97,James Conner,RB,98.3,97
98,Antonio Brown,WR,101.7,98
99,Kenyan Drake,RB,103.7,99
100,Robert Tonyan,TE,105.3,100
101,Joe Burrow,QB,106,101
102,Brandin Cooks,WR,106.3,102
103,Will Fuller V,WR,107.3,103
104,Jarvis Landry,WR,109,104
105,Tyler Higbee,TE,110.3,105
106,Rob Gronkowski,TE,110.7,106
107,Gus Edwards,RB,111,107
108,Devin Singletary,RB,112.7,108
