,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingAtt,PassingCmp,PassingYds,PassingTD,Int
0,Josh Allen,BUF,QB,0,0,0,5.1,110.8,519.6,7.6,605.2,400,4566.2,33.7,13.3
1,Patrick Mahomes II,KC,QB,0,0,0,2.5,55.3,267.2,2.9,630.5,419,5028,38.5,9.1
2,Kyler Murray,ARI,QB,0,0,0,3.7,125.8,698.8,7.7,591,391.4,4215.8,26.7,12.9
3,Lamar Jackson,BAL,QB,0,0,0,4,152.9,920.2,6.7,462.1,296.3,3377.8,28.6,12.2
4,Dak Prescott,DAL,QB,0,0,0,4.2,63.4,296.5,4,623.3,416.3,4847.8,31,11.1
5,Aaron Rodgers,GB,QB,0,0,0,3.1,41,174.1,1.9,571.7,385.6,4448,36.8,7.2
6,Russell Wilson,SEA,QB,0,0,0,3.5,82.8,447.2,2.1,569.9,380.1,4242.9,34.4,12.3
7,Justin Herbert,LAC,QB,0,0,0,2.6,61.2,272.9,4.4,616,400,4581.5,30.5,12
8,Tom Brady,TB,QB,0,0,0,2.2,24.5,31.7,2.1,621.2,404.4,4694.6,37.1,11.9
9,Ryan Tannehill,TEN,QB,0,0,0,2.9,51.8,229.5,3.5,527.7,348.9,4121.3,30.5,10.5
10,Jalen Hurts,PHI,QB,0,0,0,4.8,133.8,691,5.7,540,330,3728.2,22.4,14.4
0,Christian McCaffrey,CAR,RB,93.8,760.1,4.3,2.5,297.1,1301.6,12,0,0,0,0,0
11,Joe Burrow,CIN,QB,0,0,0,4.2,54.1,227.4,3,612.6,400.2,4317.2,26.5,11.8
12,Matthew Stafford,LAR,QB,0,0,0,3.2,33.3,126.4,0.7,613,405.9,4570.2,28.2,11.5
1,Dalvin Cook,MIN,RB,54.9,473.3,2,2.9,317.5,1491.6,13,0,0,0,0,0
13,Kirk Cousins,MIN,QB,0,0,0,4.1,35.4,114.4,1.1,541.6,364,4272,30.1,13
14,Trevor Lawrence,JAC,QB,0,0,0,5.2,66.9,341.7,2.3,589.4,377,4123.8,24.7,13.5
2,Derrick Henry,TEN,RB,23.8,178.6,1.1,2.7,343,1703.2,14.2,0,0,0,0,0
15,Matt Ryan,ATL,QB,0,0,0,4.3,32.7,117.4,1.4,613.7,400.9,4508.6,26.8,13
16,Baker Mayfield,CLE,QB,0,0,0,3.3,44.1,168.1,1.8,536.7,342.6,3943.4,27.9,11.4
17,Derek Carr,LV,QB,0,0,0,5.2,30.4,106.9,1.8,564.9,374.4,4309.4,26.4,10.9
18,Tua Tagovailoa,MIA,QB,0,0,0,1.7,54.4,205.9,2.7,574.1,373.8,3942.3,25.6,13.5
19,Ryan Fitzpatrick,WAS,QB,0,0,0,2.3,50.8,245.1,3,582.6,385.2,4116.8,23.4,16.6
20,Ben Roethlisberger,PIT,QB,0,0,0,2.2,20.9,45,0.5,617.4,400.3,4173,29.5,14
21,Daniel Jones,NYG,QB,0,0,0,8.5,70.3,403.2,2.6,546.8,342.3,3748,22.4,13.6
22,Sam Darnold,CAR,QB,0,0,0,3.9,50.3,219.8,3.3,556.1,350.6,3920.8,22,15
23,Trey Lance,SF,QB,0,0,0,4,77.2,391.5,3.2,436.8,283.9,3291.5,21.2,11.5
24,Zach Wilson,NYJ,QB,0,0,0,5.5,65.8,311.6,2.3,547.5,343.8,3861,21,15.7
3,Alvin Kamara,NO,RB,81,688.6,3.5,1.9,206.9,941.4,9.7,0,0,0,0,0
25,Jared Goff,DET,QB,0,0,0,4.2,39.9,89.3,1.7,579.6,371.3,4157.8,22.5,14.9
0,Tyreek Hill,KC,WR,100.2,1436.2,12.3,0.7,12.9,82.4,0.8,0,0,0,0,0
4,Jonathan Taylor,IND,RB,42.1,321,1.6,1.9,270.7,1255.3,10.9,0,0,0,0,0
5,Nick Chubb,CLE,RB,28.8,225.5,1,1.9,273.5,1371.7,11.1,0,0,0,0,0
26,Justin Fields,CHI,QB,0,0,0,5,69.7,348,2.8,467.6,298.5,3200.6,20.1,11.2
6,Saquon Barkley,NYG,RB,55.9,433.8,2,1.8,266,1203.3,9.1,0,0,0,0,0
7,Ezekiel Elliott,DAL,RB,52.8,393,2.4,2.9,281.8,1209.4,9.5,0,0,0,0,0
8,Aaron Jones,GB,RB,50.6,391.4,2.7,2.1,231.8,1123.5,10.3,0,0,0,0,0
1,Davante Adams,GB,WR,122.5,1462.6,12.8,0.8,0,0,0,0,0,0,0,0
27,Carson Wentz,IND,QB,0,0,0,5.7,53.8,235,2.6,468.5,293,3213.9,21.4,11.4
9,Joe Mixon,CIN,RB,50.4,368.5,2.9,2,274.8,1157.2,8.1,0,0,0,0,0
10,Najee Harris,PIT,RB,49.3,365.2,2.2,2.6,260.1,1141.5,8.5,0,0,0,0,0
11,Antonio Gibson,WAS,RB,45.2,328.4,1.4,2.1,242.6,1086.5,9.7,0,0,0,0,0
2,Stefon Diggs,BUF,WR,113.6,1476.6,9.2,1.2,2.4,15.6,0.1,0,0,0,0,0
12,Austin Ekeler,LAC,RB,79.3,684.4,4.6,1.6,178.2,810.6,4.7,0,0,0,0,0
0,Travis Kelce,KC,TE,112.4,1399.3,10.2,0.8,0,0,0,0,0,0,0,0
3,Calvin Ridley,ATL,WR,99.8,1422.3,8.8,0.8,4.6,26.1,0.1,0,0,0,0,0
13,Clyde Edwards-Helaire,KC,RB,50.6,389.5,2.2,1.8,222,998.8,7.3,0,0,0,0,0
28,Deshaun Watson,HOU,QB,0,0,0,2,48.5,229.3,2.6,333.9,227.9,2721.8,16,7.4
14,Chris Carson,SEA,RB,43.4,321.4,2.4,2.1,230.5,1055.6,7.4,0,0,0,0,0
15,J.K. Dobbins,BAL,RB,31.8,241.1,1.2,1.6,212,1076.3,9.4,0,0,0,0,0
16,David Montgomery,CHI,RB,39.4,312.2,1.6,2,253.5,1061.2,7.9,0,0,0,0,0
4,DeAndre Hopkins,ARI,WR,122.1,1468.3,7.7,1.5,0.9,4.4,0,0,0,0,0,0
17,Josh Jacobs,LV,RB,31.5,236.5,0.9,2,251.2,1073.2,9.5,0,0,0,0,0
18,Miles Sanders,PHI,RB,40.7,333.8,1.7,1.8,223,1067.6,6.8,0,0,0,0,0
5,D.K. Metcalf,SEA,WR,86.6,1300.7,9.9,1.4,0.3,1.3,0,0,0,0,0,0
19,Darrell Henderson,LAR,RB,32.4,270,1.6,1.8,237,1032.2,8.2,0,0,0,0,0
6,Justin Jefferson,MIN,WR,93.5,1391.7,7.9,0.8,0.4,1.5,0,0,0,0,0,0
29,Cam Newton,NE,QB,0,0,0,1.8,81.7,354.2,5.7,303.6,198.4,2188,12.7,9.6
7,A.J. Brown,TEN,WR,84.5,1268.4,9.8,0.9,0.5,7.5,0,0,0,0,0,0
20,D'Andre Swift,DET,RB,58.7,435.2,2.1,2.3,189.9,843.7,7.7,0,0,0,0,0
30,Jameis Winston,NO,QB,0,0,0,3.9,38.1,160.8,0.9,383,248,2790.2,18.9,12.7
8,Keenan Allen,LAC,WR,111.3,1209.3,7.9,1,3,16.3,0.1,0,0,0,0,0
9,Mike Evans,TB,WR,76.1,1114,9.4,0.7,0,0,0,0,0,0,0,0
21,Mike Davis,ATL,RB,48.8,311.4,1.7,1.9,221.8,877.3,6.5,0,0,0,0,0
10,Allen Robinson II,CHI,WR,98.6,1227.7,7,0.7,0.3,0.3,0,0,0,0,0,0
11,Terry McLaurin,WAS,WR,91.6,1235.2,6.5,0.7,1.8,12.1,0.1,0,0,0,0,0
12,Amari Cooper,DAL,WR,90.4,1195.9,7.2,0.7,2.6,11.7,0,0,0,0,0,0
13,Robert Woods,LAR,WR,98,1088.2,6,0.8,17,106.2,0.9,0,0,0,0,0
14,Adam Thielen,MIN,WR,79.5,1021,9.2,0.7,3.2,14.6,0.3,0,0,0,0,0
1,George Kittle,SF,TE,96.6,1204.5,6.6,0.7,0,0,0,0,0,0,0,0
22,Chase Edmonds,ARI,RB,51.6,378.6,2.9,1.5,169,753.1,5,0,0,0,0,0
15,CeeDee Lamb,DAL,WR,83.9,1090.4,6.6,0.8,8.4,61.2,0.6,0,0,0,0,0
2,Darren Waller,LV,TE,100.3,1144.8,7.1,0.9,0,0,0,0,0,0,0,0
