,Player,Team,Pos,Receptions,ReceivingYds,ReceivingTD,FL,RushingAtt,RushingYds,RushingTD,PassingYds,PassingTD,Int
1,Josh Allen,BUF,QB,0,0,0,5.1,110.8,519.9,8,4586.8,33.4,13.3
2,Patrick Mahomes II,KC,QB,0,0,0,2.5,55.2,266.9,2.9,5047.3,38.5,8.9
3,Kyler Murray,ARI,QB,0,0,0,3.7,127,704.1,7.8,4176.4,26.5,12.4
4,Lamar Jackson,BAL,QB,0,0,0,4,152.4,918.6,6.6,3376.8,29,12.2
5,Dak Prescott,DAL,QB,0,0,0,4.2,63.8,298.3,4.1,4843.3,31.1,11.1
6,Justin Herbert,LAC,QB,0,0,0,2.6,61.5,273.4,4.4,4619.8,31,12
7,Russell Wilson,SEA,QB,0,0,0,3.5,83.3,450.1,2.1,4248.5,34.4,12.3
8,Aaron Rodgers,GB,QB,0,0,0,3.1,41,174,1.9,4457.3,36.6,7.2
9,Tom Brady,TB,QB,0,0,0,2.2,23.8,29.9,2,4706.1,36.8,11.9
10,Jalen Hurts,PHI,QB,0,0,0,4.9,138,710.7,5.9,3748.6,22.6,15.1
11,Ryan Tannehill,TEN,QB,0,0,0,2.9,51.5,227.9,3.4,4151.4,30.5,10.5
12,Christian McCaffrey,CAR,RB,96.9,787.9,12.1,2.5,297.7,1304.2,12.1,0,0,0
13,Joe Burrow,CIN,QB,0,0,0,4.2,54.3,228.3,3,4318.7,26.4,11.5
14,Matthew Stafford,LAR,QB,0,0,0,3.2,33.4,126.7,0.8,4546.4,28.5,11.5
15,Dalvin Cook,MIN,RB,56,481.7,13,2.9,317.4,1490.2,13,0,0,0
16,Trevor Lawrence,JAC,QB,0,0,0,5.2,66.8,342.3,2.3,4151.1,24.7,13.3
17,Derrick Henry,TEN,RB,25.8,191.8,14.4,2.7,344.4,1687,14.4,0,0,0
18,Kirk Cousins,MIN,QB,0,0,0,4.1,35.3,114.3,1.1,4287.2,30,13
19,Matt Ryan,ATL,QB,0,0,0,4.3,33.2,119.3,1.4,4519,27,12.8
20,Derek Carr,LV,QB,0,0,0,5.3,31.5,110.4,1.8,4313.1,26.7,10.9
21,Tua Tagovailoa,MIA,QB,0,0,0,1.7,54.3,205.7,2.7,3957.3,25.9,13.5
22,Baker Mayfield,CLE,QB,0,0,0,3.3,44.2,168.4,1.8,3949.3,28,11.4
23,Carson Wentz,IND,QB,0,0,0,5.8,62.7,273.9,3.2,3817.8,26,13.3
24,Ben Roethlisberger,PIT,QB,0,0,0,2.3,20.8,44.5,0.5,4222.6,29.7,14.4
25,Daniel Jones,NYG,QB,0,0,0,8.5,71,406.9,2.7,3753.9,22.8,13.6
26,Sam Darnold,CAR,QB,0,0,0,3.9,50.3,219.8,3.3,3923.5,21.8,15
27,Zach Wilson,NYJ,QB,0,0,0,5.5,64.3,306.1,2.3,3917.9,21.6,14.9
28,Ryan Fitzpatrick,WAS,QB,0,0,0,2.3,47.6,232.1,3,3841.7,21.9,16.4
29,Jared Goff,DET,QB,0,0,0,4.1,39.9,89.8,1.7,4150.5,22.5,14.9
30,Alvin Kamara,NO,RB,77.9,666.5,9.7,1.9,206.9,945.7,9.7,0,0,0
31,Saquon Barkley,NYG,RB,57.8,448.6,9.4,1.8,272.9,1261.8,9.4,0,0,0
32,Jonathan Taylor,IND,RB,42.3,325.6,11,1.9,275.3,1280.6,11,0,0,0
33,Tyreek Hill,KC,WR,100.7,1440.3,12.2,0.7,12.9,81.8,0.8,0,0,0
34,Nick Chubb,CLE,RB,28.7,227.5,11.1,1.9,274.3,1374.5,11.1,0,0,0
35,Aaron Jones,GB,RB,50.1,392,10.3,2.1,231.1,1120.1,10.3,0,0,0
36,Davante Adams,GB,WR,123.6,1492.7,12.6,0.8,0,0,0,0,0,0
37,Ezekiel Elliott,DAL,RB,53,392.4,9.5,2.9,279.3,1192,9.5,0,0,0
38,Deshaun Watson,HOU,QB,0,0,0,3,60,282.5,2.9,3088.9,18,8
39,Joe Mixon,CIN,RB,50.2,368.3,8.2,2,278.1,1172.1,8.2,0,0,0
40,Najee Harris,PIT,RB,49.8,368.3,8.6,2.6,259.5,1153.4,8.6,0,0,0
41,Austin Ekeler,LAC,RB,80.4,698.8,4.7,1.6,180.8,822.2,4.7,0,0,0
42,Antonio Gibson,WAS,RB,45.6,331.8,9.9,2.1,245.4,1103.3,9.9,0,0,0
43,Cam Akers,LAR,RB,32,267,9,0,255,1146,9,0,0,0
44,Stefon Diggs,BUF,WR,112.6,1468.5,9.1,1.2,2.4,15.5,0.1,0,0,0
45,Travis Kelce,KC,TE,112.6,1405.5,10.1,0.8,0,0,0,0,0,0
